shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence;shape_dist_traveled
30;-23.56668;-46.73842;6;4295
30;-23.568;-46.7405;7;5290
31;-23.568;-46.7405;1;0
31;-23.56852;-46.73181;2;1100
31;-23.56709;-46.7275;3;1605
31;-23.56589;-46.72534;4;1865
31;-23.56524;-46.72465;5;2225
31;-23.56666;-46.72727;6;2535
31;-23.56084;-46.73074;7;3935
31;-23.56614;-46.73032;8;4650
31;-23.56827;-46.7321;9;5085
31;-23.568;-46.7405;10;6285
31;-23.56669;-46.73802;11;7885
31;-23.56668;-46.73842;12;8140
31;-23.568;-46.7405;13;9135
32;-23.568;-46.7405;1;0
32;-23.56852;-46.73181;2;1100
32;-23.56709;-46.7275;3;1605
32;-23.56589;-46.72534;4;1865
32;-23.56524;-46.72465;5;2225
32;-23.56666;-46.72727;6;2535
32;-23.56084;-46.73074;7;3935
32;-23.56614;-46.73032;8;4650
32;-23.56827;-46.7321;9;5085
32;-23.568;-46.7405;10;6285
32;-23.56669;-46.73802;11;7885
32;-23.56668;-46.73842;12;8140
32;-23.568;-46.7405;13;9135
33;-23.568;-46.7405;1;0
33;-23.56852;-46.73181;2;1100
33;-23.56709;-46.7275;3;1605
33;-23.56524;-46.72465;4;2225
33;-23.56666;-46.72727;5;2535
33;-23.55958;-46.73435;6;3935
33;-23.55941;-46.73757;7;4265
33;-23.55974;-46.73484;8;4800
33;-23.56084;-46.73074;9;5275
33;-23.56614;-46.73032;10;5990
33;-23.56827;-46.7321;11;6425
33;-23.568;-46.7405;12;7625
33;-23.56669;-46.73802;13;9225
33;-23.56668;-46.73842;14;9480
33;-23.568;-46.7405;15;10475
34;-23.568;-46.7405;1;0
34;-23.56852;-46.73181;2;1100
34;-23.56709;-46.7275;3;1605
34;-23.56589;-46.72534;4;1865
34;-23.56524;-46.72465;5;2225
34;-23.56666;-46.72727;6;2535
34;-23.56084;-46.73074;7;3935
34;-23.56614;-46.73032;8;4650
34;-23.56827;-46.7321;9;5085
34;-23.568;-46.7405;10;6285
34;-23.56669;-46.73802;11;7885
34;-23.56668;-46.73842;12;8140
34;-23.568;-46.7405;13;9135
35;-23.568;-46.7405;1;0
35;-23.56852;-46.73181;2;1100
35;-23.56709;-46.7275;3;1605
35;-23.56589;-46.72534;4;1865
35;-23.56524;-46.72465;5;2225
35;-23.56666;-46.72727;6;2535
35;-23.56084;-46.73074;7;3935
35;-23.56614;-46.73032;8;4650
35;-23.56827;-46.7321;9;5085
35;-23.568;-46.7405;10;6285
35;-23.56669;-46.73802;11;7885
35;-23.56668;-46.73842;12;8140
35;-23.568;-46.7405;13;9135
36;-23.568;-46.7405;1;0
36;-23.56852;-46.73181;2;1100
36;-23.56709;-46.7275;3;1605
36;-23.56589;-46.72534;4;1865
36;-23.56524;-46.72465;5;2225
36;-23.56666;-46.72727;6;2535
36;-23.56084;-46.73074;7;3935
36;-23.56614;-46.73032;8;4650
36;-23.56827;-46.7321;9;5085
36;-23.568;-46.7405;10;6285
36;-23.56669;-46.73802;11;7885
36;-23.56668;-46.73842;12;8140
36;-23.568;-46.7405;13;9135
37;-23.568;-46.7405;1;0
37;-23.56852;-46.73181;2;1100
37;-23.56709;-46.7275;3;1605
37;-23.56589;-46.72534;4;1865
37;-23.56524;-46.72465;5;2225
37;-23.56666;-46.72727;6;2535
37;-23.56084;-46.73074;7;3935
37;-23.56614;-46.73032;8;4650
37;-23.56827;-46.7321;9;5085
37;-23.568;-46.7405;10;6285
37;-23.56669;-46.73802;11;7885
37;-23.56668;-46.73842;12;8140
37;-23.568;-46.7405;13;9135
38;-23.568;-46.7405;1;0
38;-23.56852;-46.73181;2;1100
38;-23.56709;-46.7275;3;1605
38;-23.56589;-46.72534;4;1865
38;-23.56524;-46.72465;5;2225
38;-23.56666;-46.72727;6;2535
38;-23.56084;-46.73074;7;3935
38;-23.56614;-46.73032;8;4650
38;-23.56827;-46.7321;9;5085
38;-23.568;-46.7405;10;6285
38;-23.56669;-46.73802;11;7885
38;-23.56668;-46.73842;12;8140
38;-23.568;-46.7405;13;9135
39;-23.568;-46.7405;1;0
39;-23.56852;-46.73181;2;1100
39;-23.56827;-46.7321;3;1240
39;-23.568;-46.7405;4;2440
39;-23.56669;-46.73802;5;4040
39;-23.56668;-46.73842;6;4295
39;-23.568;-46.7405;7;5290
40;-23.568;-46.7405;1;0
40;-23.56852;-46.73181;2;1100
40;-23.56709;-46.7275;3;1605
40;-23.56589;-46.72534;4;1865
40;-23.56524;-46.72465;5;2225
40;-23.56666;-46.72727;6;2535
40;-23.56084;-46.73074;7;3935
40;-23.56614;-46.73032;8;4650
40;-23.56827;-46.7321;9;5085
40;-23.568;-46.7405;10;6285
40;-23.56669;-46.73802;11;7885
40;-23.56668;-46.73842;12;8140
40;-23.568;-46.7405;13;9135
41;-23.568;-46.7405;1;0
41;-23.56852;-46.73181;2;1100
41;-23.56709;-46.7275;3;1605
41;-23.56589;-46.72534;4;1865
41;-23.56524;-46.72465;5;2225
41;-23.56666;-46.72727;6;2535
41;-23.56084;-46.73074;7;3935
41;-23.56614;-46.73032;8;4650
41;-23.56827;-46.7321;9;5085
41;-23.568;-46.7405;10;6285
41;-23.56669;-46.73802;11;7885
41;-23.56668;-46.73842;12;8140
41;-23.568;-46.7405;13;9135
42;-23.568;-46.7405;1;0
42;-23.56852;-46.73181;2;1100
42;-23.56709;-46.7275;3;1605
42;-23.56524;-46.72465;4;2225
42;-23.56666;-46.72727;5;2535
42;-23.55958;-46.73435;6;3935
42;-23.55941;-46.73757;7;4265
42;-23.55974;-46.73484;8;4800
42;-23.56084;-46.73074;9;5275
42;-23.56614;-46.73032;10;5990
42;-23.56827;-46.7321;11;6425
42;-23.568;-46.7405;12;7625
42;-23.56669;-46.73802;13;9225
42;-23.56668;-46.73842;14;9480
42;-23.568;-46.7405;15;10475
43;-23.568;-46.7405;1;0
43;-23.56852;-46.73181;2;1100
43;-23.56709;-46.7275;3;1605
43;-23.56589;-46.72534;4;1865
43;-23.56524;-46.72465;5;2225
43;-23.56666;-46.72727;6;2535
43;-23.56084;-46.73074;7;3935
43;-23.56614;-46.73032;8;4650
43;-23.56827;-46.7321;9;5085
43;-23.568;-46.7405;10;6285
43;-23.56669;-46.73802;11;7885
43;-23.56668;-46.73842;12;8140
43;-23.568;-46.7405;13;9135
44;-23.568;-46.7405;1;0
44;-23.56852;-46.73181;2;1100
44;-23.56709;-46.7275;3;1605
44;-23.56589;-46.72534;4;1865
44;-23.56524;-46.72465;5;2225
44;-23.56666;-46.72727;6;2535
44;-23.56084;-46.73074;7;3935
44;-23.56614;-46.73032;8;4650
44;-23.56827;-46.7321;9;5085
44;-23.568;-46.7405;10;6285
44;-23.56669;-46.73802;11;7885
44;-23.56668;-46.73842;12;8140
44;-23.568;-46.7405;13;9135
45;-23.568;-46.7405;1;0
45;-23.56852;-46.73181;2;1100
45;-23.56709;-46.7275;3;1605
45;-23.56589;-46.72534;4;1865
45;-23.56524;-46.72465;5;2225
45;-23.56666;-46.72727;6;2535
45;-23.56084;-46.73074;7;3935
45;-23.56614;-46.73032;8;4650
45;-23.56827;-46.7321;9;5085
45;-23.568;-46.7405;10;6285
45;-23.56669;-46.73802;11;7885
45;-23.56668;-46.73842;12;8140
45;-23.568;-46.7405;13;9135
46;-23.568;-46.7405;1;0
46;-23.56852;-46.73181;2;1100
46;-23.56709;-46.7275;3;1605
46;-23.56589;-46.72534;4;1865
46;-23.56524;-46.72465;5;2225
46;-23.56666;-46.72727;6;2535
46;-23.56084;-46.73074;7;3935
46;-23.56614;-46.73032;8;4650
46;-23.56827;-46.7321;9;5085
46;-23.568;-46.7405;10;6285
46;-23.56669;-46.73802;11;7885
46;-23.56668;-46.73842;12;8140
46;-23.568;-46.7405;13;9135
47;-23.568;-46.7405;1;0
47;-23.56852;-46.73181;2;1100
47;-23.56709;-46.7275;3;1605
47;-23.56589;-46.72534;4;1865
47;-23.56524;-46.72465;5;2225
47;-23.56666;-46.72727;6;2535
47;-23.56084;-46.73074;7;3935
47;-23.56614;-46.73032;8;4650
47;-23.56827;-46.7321;9;5085
47;-23.568;-46.7405;10;6285
47;-23.56669;-46.73802;11;7885
47;-23.56668;-46.73842;12;8140
47;-23.568;-46.7405;13;9135
48;-23.568;-46.7405;1;0
48;-23.56852;-46.73181;2;1100
48;-23.56709;-46.7275;3;1605
48;-23.56589;-46.72534;4;1865
48;-23.56524;-46.72465;5;2225
48;-23.56666;-46.72727;6;2535
48;-23.56084;-46.73074;7;3935
48;-23.56614;-46.73032;8;4650
48;-23.56827;-46.7321;9;5085
48;-23.568;-46.7405;10;6285
48;-23.56669;-46.73802;11;7885
48;-23.56668;-46.73842;12;8140
48;-23.568;-46.7405;13;9135
49;-23.568;-46.7405;1;0
49;-23.56852;-46.73181;2;1100
49;-23.56709;-46.7275;3;1605
